127.0.0.1, 2024-04-01 19:55:03, GET, /learner/static/js/calendar.js, HTTP/1.1, 200, 0.064451
 0.090208
127.0.0.1, 2024-04-01 19:55:03, GET, /learner/static/js/web2py.js, HTTP/1.1, 200, 0.057470
127.0.0.1, 2024-04-01 19:55:03, GET, /learner/static/js/jquery.js, HTTP/1.1, 200, 0.100956
127.0.0.1, 2024-04-01 19:55:03, GET, /learner/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.073076
127.0.0.1, 2024-04-01 19:55:03, GET, /learner/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.031244
127.0.0.1, 2024-04-01 19:55:03, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.001003
127.0.0.1, 2024-04-01 19:55:03, GET, /learner/static/images/favicon.ico, HTTP/1.1, 200, 0.008976
127.0.0.1, 2024-04-01 19:56:39, GET, /learner/default/index, HTTP/1.1, 200, 0.143529
127.0.0.1, 2024-04-01 19:56:39, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-04-01 19:59:01, GET, /learner/default/index, HTTP/1.1, 200, 0.039759
127.0.0.1, 2024-04-01 19:59:01, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2024-04-01 19:59:50, GET, /learner/default/index, HTTP/1.1, 200, 0.046869
127.0.0.1, 2024-04-01 19:59:50, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-04-01 19:59:51, GET, /learner/default/index, HTTP/1.1, 200, 0.019636
127.0.0.1, 2024-04-01 20:00:07, GET, /learner/default/index, HTTP/1.1, 200, 0.049787
127.0.0.1, 2024-04-01 20:00:13, GET, /learner/default/index, HTTP/1.1, 200, 0.040310
127.0.0.1, 2024-04-01 20:00:20, GET, /learner/default/index, HTTP/1.1, 200, 0.062272
127.0.0.1, 2024-04-01 20:00:36, GET, /learner/default/index, HTTP/1.1, 200, 0.046863
127.0.0.1, 2024-04-01 20:11:08, GET, /learner/default/index, HTTP/1.1, 200, 0.166216
127.0.0.1, 2024-04-01 20:11:08, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-04-01 20:11:28, GET, /learner/default/index, HTTP/1.1, 200, 0.080863
127.0.0.1, 2024-04-01 20:11:28, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.000998
127.0.0.1, 2024-04-01 20:15:39, GET, /, HTTP/1.1, 303, 0.002005
127.0.0.1, 2024-04-01 20:15:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.657717
127.0.0.1, 2024-04-01 20:15:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-04-01 20:15:46, GET, /learner/default/index, HTTP/1.1, 200, 0.196113
127.0.0.1, 2024-04-01 20:15:46, GET, /learner/static/images/background.jpg, HTTP/1.1, 404, 0.001523
127.0.0.1, 2024-04-01 20:35:24, GET, /learner, HTTP/1.1, 200, 0.029171
127.0.0.1, 2024-04-01 20:35:50, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.058397
127.0.0.1, 2024-04-01 20:36:24, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.022943
127.0.0.1, 2024-04-01 20:36:32, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.014478
127.0.0.1, 2024-04-01 20:36:45, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.040411
127.0.0.1, 2024-04-01 20:38:15, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.046864
127.0.0.1, 2024-04-01 20:38:27, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.011968
127.0.0.1, 2024-04-01 20:38:33, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.015502
127.0.0.1, 2024-04-01 20:39:01, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.015737
127.0.0.1, 2024-04-01 20:39:06, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.014959
127.0.0.1, 2024-04-01 20:39:12, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.013964
127.0.0.1, 2024-04-01 20:39:38, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.014922
127.0.0.1, 2024-04-01 20:40:21, POST, /learner/courses/get_courses, HTTP/1.1, 403, 0.015607
127.0.0.1, 2024-04-01 20:40:26, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.015958
127.0.0.1, 2024-04-01 20:53:41, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.041216
127.0.0.1, 2024-04-01 20:55:32, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.017951
127.0.0.1, 2024-04-01 20:55:43, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.024950
127.0.0.1, 2024-04-01 20:55:48, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.022715
127.0.0.1, 2024-04-01 20:55:54, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.014491
127.0.0.1, 2024-04-01 20:58:14, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.039366
127.0.0.1, 2024-04-01 20:58:16, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.031667
127.0.0.1, 2024-04-01 20:58:36, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.015625
127.0.0.1, 2024-04-01 20:58:38, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.009513
127.0.0.1, 2024-04-01 20:58:44, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.022680
127.0.0.1, 2024-04-01 20:58:46, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.013975
127.0.0.1, 2024-04-01 21:00:15, GET, /learner/courses/get_courses, HTTP/1.1, 200, 0.031655
127.0.0.1, 2024-04-01 21:00:21, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.017369
127.0.0.1, 2024-04-01 21:00:26, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.021976
127.0.0.1, 2024-04-01 21:01:10, POST, /learner/courses/create_course, HTTP/1.1, 200, 0.009974
127.0.0.1, 2024-04-01 21:09:16, POST, /learner/enrollments/enroll_student, HTTP/1.1, 404, 0.014489
127.0.0.1, 2024-04-01 21:09:39, POST, /learner/enrollments/enroll_student, HTTP/1.1, 200, 0.031653
127.0.0.1, 2024-04-01 21:10:29, POST, /learner/enrollments/enroll_student, HTTP/1.1, 200, 0.045806
127.0.0.1, 2024-04-01 21:10:35, POST, /learner/enrollments/enroll_student, HTTP/1.1, 200, 0.023259
127.0.0.1, 2024-04-01 21:13:27, POST, /learner/enrollments/enroll_student, HTTP/1.1, 200, 0.031635
127.0.0.1, 2024-04-01 21:13:29, POST, /learner/enrollments/enroll_student, HTTP/1.1, 200, 0.007037
127.0.0.1, 2024-04-01 21:13:31, POST, /learner/enrollments/enroll_student, HTTP/1.1, 200, 0.014765
